"id","name"
"__export__.crm_agent_type_1","RSM"
"__export__.crm_agent_type_2","ASM"
"__export__.crm_agent_type_3","KSS"
"__export__.crm_agent_type_4","KSC"
"__export__.crm_agent_type_5","CS"
"__export__.crm_agent_type_6","TSA"
"__export__.crm_agent_type_7","VKSC"
"__export__.crm_agent_type_8","Headquarter"
"__export__.crm_agent_type_9","Partner"
"__export__.crm_agent_type_11","KSS_VNPost"
"__export__.crm_agent_type_12","VNPost2"
"__export__.crm_agent_type_13","CourierFE"
"__export__.crm_agent_type_14","Partner online"
"__export__.crm_agent_type_65","PreKSS"
"__export__.crm_agent_type_66","KSS FE"
"__export__.crm_agent_type_67","Telesale"
"__export__.crm_agent_type_68","Telesale_HDLD"
"__export__.crm_agent_type_69","KSS Telesale"
"__export__.crm_agent_type_70","Variable"
"__export__.crm_agent_type_71","Fixed"
"__export__.crm_agent_type_72","Variable_CC"
"__export__.crm_agent_type_73","Teller"
"__export__.crm_agent_type_74","Teller-HDLD"
"__export__.crm_agent_type_75","Variable POS"
"__export__.crm_agent_type_76","Fixed_HDLD"
"__export__.crm_agent_type_77","Variable-VNPOST"
"__export__.crm_agent_type_78","Fixed-VNPOST-HDLD"
"__export__.crm_agent_type_79","Fixed POS-HDLD"
"__export__.crm_agent_type_80","Fixed-VNPOST"
"__export__.crm_agent_type_81","PreKSS FE"
"__export__.crm_agent_type_82","Fixed_Plus"
"__export__.crm_agent_type_83","Teller POS"
"__export__.crm_agent_type_84","Fixed POS"
"__export__.crm_agent_type_85","Fixed_CC"
"__export__.crm_agent_type_86","Fixed_VNPOST_Plus"
"__export__.crm_agent_type_87","Fixed_Partner"
"__export__.crm_agent_type_88","KASM FE"
"__export__.crm_agent_type_89","KRSM FE"
"__export__.crm_agent_type_90","CS_HDLD"
"__export__.crm_agent_type_91","CS_Variable"
"__export__.crm_agent_type_93","HDLD"
"__export__.crm_agent_type_94","HDLD-Teller"
"__export__.crm_agent_type_95","PreASM"
"__export__.crm_agent_type_96","KSS_POS_CC FE"
"__export__.crm_agent_type_98","Fixed_DSA100"
"__export__.crm_agent_type_99","PreKSS_HDDV"
"__export__.crm_agent_type_102","DSA_100"
"__export__.crm_agent_type_104","KSS_DSA100"
"__export__.crm_agent_type_106","ASM_DSA100"
"__export__.crm_agent_type_108","TSA_100"
"__export__.crm_agent_type_110"," Fix_TSA100"
"__export__.crm_agent_type_112","KSS_TSA100"
"__export__.crm_agent_type_114","ASM_TSA100"
"__export__.crm_agent_type_115","Telesale Team Leader"
"__export__.crm_agent_type_117","Telesale_DSA100"
"__export__.crm_agent_type_118","Var_DSA100"
"__export__.crm_agent_type_120","DSA_Galaxy"
"__export__.crm_agent_type_121","DSA_Callus"
"__export__.crm_agent_type_123","DSA_Linkmedia"
"__export__.crm_agent_type_124","Sales Admin"
"__export__.crm_agent_type_125","Var_K"
