"id","name","manager_id/id"
"hr.dep_administration","Administration",""
"__export__.hr_department_13","DSA SmartNet",""
"__export__.hr_department_11","FEC",""
"__export__.hr_department_5","It",""
"__export__.hr_department_4","Kinh Doanh","__export__.hr_employee_13962"
"__export__.hr_department_3","sales","__export__.hr_employee_329"
"hr.dep_sales","SALES",""
"__export__.hr_department_10","sales / vnpost",""
"__export__.hr_department_9","sales/vnpost",""
"__export__.hr_department_12","SmartPOS","__export__.hr_employee_94882"
"__export__.hr_department_6","Tài chính - Kế toán",""
"__export__.hr_department_8","TELELSALE",""
"__export__.hr_department_7","VNPOST","__export__.hr_employee_13962"
